id;time;status;stage_at_death;Plant_species;Treatment;Survival_to_pupa
PF5.1c;17;0;;M. aquaticum;Control;1
PF5.2c;15;0;;M. aquaticum;Control;1
PF6.1c;15;0;;M. aquaticum;Control;1
PF6.2c;17;0;;M. aquaticum;Control;1
PF7.1c;2;1;;M. aquaticum;Herbivory 5 days;0
PF7.2c;17;0;;M. aquaticum;Herbivory 5 days;1
PF8.1c;17;0;;M. aquaticum;Herbivory 5 days;1
PF8.2c;19;0;;M. aquaticum;Herbivory 5 days;1
PF9.1c;15;0;;M. aquaticum;Herbivory 5 days;1
PF9.2c;15;0;;M. aquaticum;Herbivory 5 days;1
PF10.1c;17;0;;M. aquaticum;Herbivory 5 days;1
PF10.2c;14;0;;M. aquaticum;Herbivory 5 days;1
PF11.1c;18;0;;M. aquaticum;Herbivory 5 days;1
PF11.2c;19;0;;M. aquaticum;Herbivory 5 days;1
PF12.1c;4;1;;M. aquaticum;Herbivory 5 days;0
PF12.2c;16;0;;M. aquaticum;Herbivory 5 days;1
