feature_id;feature_mz;feature_rt;candidate_structure_tax_npc_01pat;feature_pred_tax_npc_01pat_val;feature_pred_tax_npc_01pat_score;candidate_structure_tax_npc_02sup;feature_pred_tax_npc_02sup_val;feature_pred_tax_npc_02sup_score;candidate_structure_tax_npc_03cla;feature_pred_tax_npc_03cla_val;feature_pred_tax_npc_03cla_score;consensus_class;structure_name;candidate_structure_organism_occurrence_closest;confidence;score_final;npc_pathway;npc_superclass;npc_class;color_pathway;color_superclass;color_class
448;455.098872166567;1.6943922;Shikimates and Phenylpropanoids;Shikimates and Phenylpropanoids;0.999;Flavonoids;Flavonoids;0.997;Flavones;Flavones;0.999;Flavones;Luteolin 6-C-glucoside 8-C-arabinoside;Magnoliopsida;high;0.695217980918236;Shikimates and Phenylpropanoids;Flavonoids;Flavones;#7B3294;#9255A7;#C19FCD
449;631.053745002458;1.6945904;NA;Amino acids and Peptides;0.584;NA;Tyrosine alkaloids;0.438;NA;Phenylethylamines;0.457;NA;NA;NA;NA;NA;Unclassified;Unclassified;Unclassified;#000000;#404040;#838383
450;857.012799971224;1.6945722;NA;Shikimates and Phenylpropanoids;0.308115842920938;NA;Phenylpropanoids (C6-C3);0.154057921460469;NA;Cinnamic acids and derivatives;0.154057921460469;NA;NA;NA;NA;NA;Unclassified;Unclassified;Unclassified;#000000;#404040;#838383
451;955.104444593681;1.6946152;NA;Alkaloids;0.581;NA;Small peptides;0.368;NA;Aminoacids;0.384;NA;NA;NA;NA;NA;Unclassified;Unclassified;Unclassified;#000000;#404040;#838383
452;471.01960017081;1.6950898;Shikimates and Phenylpropanoids;Carbohydrates;0.768;Phenolic acids (C6-C1);Nucleosides;0.709;Gallotannins;Purine nucleosides;0.374;Gallotannins;2-[(2,7,8-Trihydroxy-5,10-dioxo-5,10-dihydro[1]benzopyrano[5,4,3-cde][1]benzopyran)-3-yloxy]-3,4,5-trihydroxybenzoic acid;Magnoliopsida;NA;0.499471632740044;Shikimates and Phenylpropanoids;Phenolic acids (C6-C1);Gallotannins;#7B3294;#9E68B0;#A877B8
453;445.040936255888;1.6952323;NA;Shikimates and Phenylpropanoids;0.424;NA;Cyclic polyketides;0.379;NA;Phthalide derivatives;0.152;NA;NA;NA;NA;NA;Unclassified;Unclassified;Unclassified;#000000;#404040;#838383
454;937.0934987938;1.6958226;Shikimates and Phenylpropanoids;Shikimates and Phenylpropanoids;0.961;Phenylpropanoids (C6-C3);Phenylpropanoids (C6-C3);0.999;Cinnamic acids and derivatives;Cinnamic acids and derivatives;0.997;Cinnamic acids and derivatives;4-Hydroxy-3,5-dimethoxycinnamic acid;Magnoliopsida;high;0.692123200873851;Shikimates and Phenylpropanoids;Phenylpropanoids (C6-C3);Cinnamic acids and derivatives;#7B3294;#A675B7;#C5A5D0
455;475.087816367683;1.6965966;Shikimates and Phenylpropanoids;Amino acids and Peptides;0.315;Diarylheptanoids;Guanidine alkaloids;0.372;Linear diarylheptanoids;Cyclamides;0.218;Linear diarylheptanoids;2,3-bis[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]-2,3-dihydroxybutanedioic acid;Magnoliopsida;NA;0.434455033915059;Shikimates and Phenylpropanoids;Diarylheptanoids;Linear diarylheptanoids;#7B3294;#8A49A0;#B389C1
456;560.048385088824;1.69666;Shikimates and Phenylpropanoids;Shikimates and Phenylpropanoids;0.908;Coumarins;Coumarins;0.712;NA;Simple coumarins;0.488;Coumarins;NA;NA;NA;NA;Shikimates and Phenylpropanoids;Coumarins;Unclassified;#7B3294;#86439D;#CFB4D8
457;481.072466432888;1.6972834;Shikimates and Phenylpropanoids;Polyketides;0.88;Flavonoids $ Isoflavonoids;Naphthalenes;0.971;Dihydroflavonols $ Isoflavones;Naphthoquinones;0.968;Dihydroflavonols;(2R,3R)-8-(5,7-dihydroxy-4-oxochromen-3-yl)-2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-2,3-dihydrochromen-4-one;Magnoliopsida;NA;0.398735536994439;Shikimates and Phenylpropanoids;Flavonoids;Dihydroflavonols;#7B3294;#9255A7;#A979BA
458;839.003018703138;1.6977409;Shikimates and Phenylpropanoids;Amino acids and Peptides;0.396;Phenylpropanoids (C6-C3);Phenylpropanoids (C6-C3);0.535;Cinnamic acids and derivatives;Cinnamic acids and derivatives;0.123;Cinnamic acids and derivatives;1-O-Sinapoylglucose $ 1-o-Sinapoylglucose;Magnoliopsida;NA;0.577234029474501;Shikimates and Phenylpropanoids;Phenylpropanoids (C6-C3);Cinnamic acids and derivatives;#7B3294;#A675B7;#C5A5D0
459;147.043898726499;1.6980455;Shikimates and Phenylpropanoids;Alkaloids;0.884;Phenylpropanoids (C6-C3);Lysine alkaloids;0.47;Cinnamic acids and derivatives;Piperidine alkaloids;0.438;Cinnamic acids and derivatives;4-Hydroxycinnamic acid $ P-Coumaric Acid;Saxifragales;NA;0.678304253639501;Shikimates and Phenylpropanoids;Phenylpropanoids (C6-C3);Cinnamic acids and derivatives;#7B3294;#A675B7;#C5A5D0
460;409.167688508512;1.6980878;Shikimates and Phenylpropanoids;Shikimates and Phenylpropanoids;0.892;Xanthones;Phenylpropanoids (C6-C3);0.981;Plant xanthones;Cinnamic acids and derivatives;0.956;Plant xanthones;9-Hydroxycalabaxanthone;Magnoliopsida;NA;0.399657472141836;Shikimates and Phenylpropanoids;Xanthones;Plant xanthones;#7B3294;#B68EC4;#D0B6D9
461;400.011801603722;1.6980938;notClassified;Amino acids and Peptides;0.338;notClassified;Phenylpropanoids (C6-C3);0.779;notClassified;Polyamines;0.304;notClassified;Monoiodothyronine;Eukaryota;NA;0.119794406424508;Unclassified;Unclassified;Unclassified;#000000;#404040;#838383
462;165.054291684462;1.6991988;Amino acids and Peptides $ Shikimates and Phenylpropanoids;Shikimates and Phenylpropanoids;0.640090577188214;Small peptides;Phenolic acids (C6-C1);0.320045288594107;Aminoacids;notClassified;0.311016483989933;Aminoacids;L-Tyrosine $ (2S)-2-ammonio-3-(4-hydroxyphenyl)propanoate $ Tyrosine;Biota;high;0.900106259137125;Amino acids and Peptides;Small peptides;Aminoacids;#D73027;#E57873;#E88681
463;605.122663827619;1.6999481;NA;Shikimates and Phenylpropanoids;0.554740617286169;NA;Flavonoids;0.554740617286169;NA;Proanthocyanins;0.480775201648013;NA;NA;NA;NA;NA;Unclassified;Unclassified;Unclassified;#000000;#404040;#838383
464;123.043800670675;1.7002295;Shikimates and Phenylpropanoids;Shikimates and Phenylpropanoids;0.93;Phenolic acids (C6-C1);Phenylpropanoids (C6-C3);0.96;Shikimic acids and derivatives $ Simple phenolic acids;Cinnamic acids and derivatives;0.972;Shikimic acids and derivatives;4-Hydroxybenzaldehyde;Saxifragales;NA;0.572394664036031;Shikimates and Phenylpropanoids;Phenolic acids (C6-C1);Shikimic acids and derivatives;#7B3294;#9E68B0;#B890C5
465;291.086255833917;1.7003173;Shikimates and Phenylpropanoids;Shikimates and Phenylpropanoids;0.651455760722569;Flavonoids;Flavonoids;0.610739775677409;Flavan-3-ols;Flavan-3-ols;0.610739775677409;Flavan-3-ols;L-Epicatechin;Saxifragales;high;0.737034645421136;Shikimates and Phenylpropanoids;Flavonoids;Flavan-3-ols;#7B3294;#9255A7;#AF82BE
466;139.038775554789;1.7004141;Shikimates and Phenylpropanoids;Shikimates and Phenylpropanoids;0.640090577188214;Phenolic acids (C6-C1);Phenolic acids (C6-C1);0.560079255039687;Simple phenolic acids;notClassified;0.536979138146655;Simple phenolic acids;4-Hydroxybenzoic acid $ 4-Oxoniobenzoate $ 4-hydroxybenzoate;Biota;high;0.837471251871106;Shikimates and Phenylpropanoids;Phenolic acids (C6-C1);Simple phenolic acids;#7B3294;#9E68B0;#C8A9D2
467;273.075573661937;1.7004377;Shikimates and Phenylpropanoids;Polyketides;0.765;Flavonoids;Naphthalenes;0.29;Flavanones;Naphthoquinones;0.383;Flavanones;5,7-Dihydroxy-2-(4-hydroxyphenyl)chroman-4-one $ (2R)-5,7-Dihydroxy-2-(4-hydroxyphenyl)-2,3-dihydro-4H-chromen-4-one;Saxifragales;NA;0.54450943863205;Shikimates and Phenylpropanoids;Flavonoids;Flavanones;#7B3294;#9255A7;#B58CC3
468;349.088994997908;1.7008069;Shikimates and Phenylpropanoids;Shikimates and Phenylpropanoids;0.994;Phenylpropanoids (C6-C3);Phenylpropanoids (C6-C3);0.993;Cinnamic acids and derivatives;Cinnamic acids and derivatives;0.994;Cinnamic acids and derivatives;Melilotoside;Magnoliopsida;NA;0.511856909727872;Shikimates and Phenylpropanoids;Phenylpropanoids (C6-C3);Cinnamic acids and derivatives;#7B3294;#A675B7;#C5A5D0
469;933.060932601352;1.7014729;NA;Shikimates and Phenylpropanoids;0.32516820266624;NA;Phenolic acids (C6-C1);0.270973502221867;NA;Gallotannins;0.216778801777493;NA;NA;NA;NA;NA;Unclassified;Unclassified;Unclassified;#000000;#404040;#838383
470;426.051138130431;1.7018201;NA;notClassified;0.0921029967710878;NA;Flavonoids;0.162939239228033;NA;notClassified;0.0921029967710878;NA;NA;NA;high;NA;Unclassified;Unclassified;Unclassified;#000000;#404040;#838383
471;411.126308756549;1.7021325;Polyketides;Polyketides;0.749;Cyclic polyketides;Aromatic polyketides;0.487;2-pyrone derivatives;Simple aromatic polyketides;0.871;2-pyrone derivatives;Aloenin;Magnoliopsida;NA;0.453162571691106;Polyketides;Cyclic polyketides;2-pyrone derivatives;#1B9E77;#39AB89;#4DB395
472;457.079442456473;1.7031494;Terpenoids;Shikimates and Phenylpropanoids;0.665736046010414;Monoterpenoids;Flavonoids;0.49930203450781;Iridoids monoterpenoids;Flavonols;0.374476525880858;Iridoids monoterpenoids;Geniposidic acid;Magnoliopsida;NA;0.615411987156232;Terpenoids;Monoterpenoids;Iridoids monoterpenoids;#008837;#3BA465;#62B684
473;449.10650299943;1.7032518;Shikimates and Phenylpropanoids;Polyketides;0.475;Flavonoids;Cyclic polyketides;0.414;Flavonols;4-pyrone derivatives;0.365;Flavonols;Quercetin 3-O-alpha-L-rhamnoside $ Quercetin 3-O-rhamnoside;Myriophyllum;NA;0.727779607315935;Shikimates and Phenylpropanoids;Flavonoids;Flavonols;#7B3294;#9255A7;#C7A8D2
474;385.024313672927;1.7033389;notClassified;Polyketides;0.852;notClassified;Naphthalenes;0.869;notClassified;Naphthoquinones;0.885;notClassified;NA;;NA;0.195975483155143;Unclassified;Unclassified;Unclassified;#000000;#404040;#838383
475;757.218433609234;1.7034916;Shikimates and Phenylpropanoids;Polyketides;0.405;Flavonoids;Phenolic acids (C6-C1);0.29;Anthocyanidins;Halogenated fatty acids;0.352;Anthocyanidins;Cyanidin 3-(2G-glucosylrutinoside);Saxifragales;NA;0.686192941146933;Shikimates and Phenylpropanoids;Flavonoids;Anthocyanidins;#7B3294;#9255A7;#9D66B0
476;413.214884201298;1.7064887;Shikimates and Phenylpropanoids;Alkaloids;0.411;Phenylpropanoids (C6-C3);Phenylpropanoids (C6-C3);0.041;Cinnamic acids and derivatives;Imidazole alkaloids;0.038;Cinnamic acids and derivatives;Chlorogenic acid $ Chlorogenic Acid;;NA;0.445787505506202;Shikimates and Phenylpropanoids;Phenylpropanoids (C6-C3);Cinnamic acids and derivatives;#7B3294;#A675B7;#C5A5D0
477;972.130104110995;1.7069205;Shikimates and Phenylpropanoids;Shikimates and Phenylpropanoids;0.808;notClassified;Phenolic acids (C6-C1);0.376;notClassified;Simple phenolic acids;0.218;Shikimates and Phenylpropanoids;Benzaldehyde;Saxifragales;high;0.734342782840225;Shikimates and Phenylpropanoids;Unclassified;Unclassified;#7B3294;#B288C1;#CDB2D7
478;373.182128350489;1.7072626;Fatty acids;Fatty acids;0.985;Fatty Acids and Conjugates;Fatty Acids and Conjugates;0.965;Halogenated fatty acids;Halogenated fatty acids;0.962;Halogenated fatty acids;NA;NA;NA;NA;Fatty acids;Fatty Acids and Conjugates;Halogenated fatty acids;#D95F02;#DC6D18;#E48E4C
479;465.101552181345;1.7073298;Shikimates and Phenylpropanoids;Polyketides;0.48;Flavonoids;Cyclic polyketides;0.772;Flavonols;2-pyrone derivatives;0.727;Flavonols;3,5,7-Trihydroxy-2-[3-hydroxy-4-[(2S,5S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]chromen-4-one $ Quercetin-4'-o-glucoside;Saxifragales;NA;0.618827330154718;Shikimates and Phenylpropanoids;Flavonoids;Flavonols;#7B3294;#9255A7;#C7A8D2
480;425.141939867566;1.708252;notClassified;Alkaloids;0.558;notClassified;Anthranilic acid alkaloids;0.077;notClassified;Purine alkaloids;0.031;notClassified;NA;;NA;0.0686262423374223;Unclassified;Unclassified;Unclassified;#000000;#404040;#838383
481;487.087600171043;1.7088002;notClassified;Shikimates and Phenylpropanoids;0.968;notClassified;Coumarins;0.655;notClassified;Simple coumarins;0.539;notClassified;NA;;NA;0.071812455440088;Unclassified;Unclassified;Unclassified;#000000;#404040;#838383
482;420.186288973967;1.7105587;Shikimates and Phenylpropanoids;Alkaloids;0.266;notClassified;Coumarins;0.029;notClassified;Cephalosporins;0.123;Shikimates and Phenylpropanoids;Benzyl 6-O-beta-D-apiofuranosyl-beta-D-glucoside $ Icariside F2;;NA;0.354872959671725;Shikimates and Phenylpropanoids;Unclassified;Unclassified;#7B3294;#B288C1;#CDB2D7
483;783.067549278882;1.7106819;NA;Alkaloids;0.414;NA;Histidine alkaloids;0.103;NA;Imidazole alkaloids;0.104;NA;NA;NA;NA;NA;Unclassified;Unclassified;Unclassified;#000000;#404040;#838383
484;495.508044688431;1.7112823;NA;Amino acids and Peptides;0.567;NA;Fatty Acids and Conjugates;0.426;NA;Aminoacids;0.184;NA;NA;NA;NA;NA;Unclassified;Unclassified;Unclassified;#000000;#404040;#838383
485;587.230607313872;1.7128053;NA;Polyketides;0.465;NA;Coumarins;0.345;NA;Chromones;0.284;NA;NA;NA;NA;NA;Unclassified;Unclassified;Unclassified;#000000;#404040;#838383
486;362.123208528526;1.7146348;Alkaloids;Alkaloids;0.966;Tyrosine alkaloids;Ornithine alkaloids;0.723;Aporphine alkaloids $ Isoquinoline alkaloids;Polyamines;0.286;Aporphine alkaloids;(+/-)-Dicentrine;Magnoliopsida;NA;0.41798612979981;Alkaloids;Tyrosine alkaloids;Aporphine alkaloids;#2C7BB6;#84B2D5;#A5C7E0
487;803.186506896923;1.7187138;Shikimates and Phenylpropanoids;Terpenoids;0.96;Flavonoids;Sesquiterpenoids;0.916;Flavonols;Eremophilane sesquiterpenoids;0.192;Flavonols;Quercetin 7-glucuronoside 3-sophoroside;Magnoliopsida;NA;0.486209666030639;Shikimates and Phenylpropanoids;Flavonoids;Flavonols;#7B3294;#9255A7;#C7A8D2
488;863.026077718856;1.7194641;Shikimates and Phenylpropanoids;Shikimates and Phenylpropanoids;0.874;Coumarins;Coumarins;0.785;NA;Simple coumarins;0.549;Coumarins;NA;NA;NA;NA;Shikimates and Phenylpropanoids;Coumarins;Unclassified;#7B3294;#86439D;#CFB4D8
489;422.137494791059;1.7207366;Alkaloids;Shikimates and Phenylpropanoids;0.436;Tryptophan alkaloids $ Anthranilic acid alkaloids;Monoterpenoids;0.383;Quinoline alkaloids;Iridoids monoterpenoids;0.227;Quinoline alkaloids;(3S,4S)-4,5-dihydroxy-3-methoxy-4-(4-methoxyphenyl)-6-(3-methylbut-2-enyl)-1,3-dihydroquinolin-2-one;Eukaryota;NA;0.295834426899279;Alkaloids;Tryptophan alkaloids;Quinoline alkaloids;#2C7BB6;#7EAED2;#ABCAE2
490;432.017856049096;1.7224053;NA;Shikimates and Phenylpropanoids;0.456482290930463;NA;Flavonoids;0.253601272739146;NA;notClassified;0.188801350379655;NA;NA;NA;NA;NA;Unclassified;Unclassified;Unclassified;#000000;#404040;#838383
491;549.213626544459;1.725696;Alkaloids $ Terpenoids;Amino acids and Peptides;0.388;Tryptophan alkaloids;Pseudoalkaloids (transamidation);0.058;notClassified;Purine alkaloids;0.039;Tryptophan alkaloids;(3S,4R,4aS,6R)-4-ethenyl-6-hydroxy-7-[2-[(3S)-3-hydroxy-2-oxo-1H-indol-3-yl]ethyl]-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4,4a,5,6-tetrahydro-3H-pyrano[3,4-c]pyridin-8-one;Magnoliopsida;NA;0.525391421831696;Alkaloids;Tryptophan alkaloids;Unclassified;#2C7BB6;#7EAED2;#C3DAEA
492;401.174913367182;1.7273719;NA;Amino acids and Peptides;0.612;NA;Monoterpenoids;0.101;NA;Menthane monoterpenoids;0.079;NA;NA;NA;NA;NA;Unclassified;Unclassified;Unclassified;#000000;#404040;#838383
493;305.065439774717;1.7287025;Shikimates and Phenylpropanoids;Alkaloids;0.391;Flavonoids;Nucleosides;0.153;Dihydroflavonols;Purine nucleosides;0.096;Dihydroflavonols;Dihydrorobinetin;;NA;0.389742277358562;Shikimates and Phenylpropanoids;Flavonoids;Dihydroflavonols;#7B3294;#9255A7;#A979BA
494;565.188443545734;1.729242;Shikimates and Phenylpropanoids;Shikimates and Phenylpropanoids;0.986;Coumarins;Coumarins;0.981;Simple coumarins;Simple coumarins;0.854;Simple coumarins;Scopoletin;Saxifragales;high;0.740168779066797;Shikimates and Phenylpropanoids;Coumarins;Simple coumarins;#7B3294;#86439D;#BF9CCC
495;459.091719908621;1.7303975;Shikimates and Phenylpropanoids;Carbohydrates;0.668;Flavonoids;Nucleosides;0.706;Flavan-3-ols;Purine nucleosides;0.66;Flavan-3-ols;5,7-dihydroxy-2-(3,4,5-trihydroxyphenyl)-3,4-dihydro-2H-chromen-3-yl 3,4,5-trihydroxybenzoate $ (-)-Gallocatechin gallate;Saxifragales;NA;0.596363263844617;Shikimates and Phenylpropanoids;Flavonoids;Flavan-3-ols;#7B3294;#9255A7;#AF82BE
