filename;mzmine_sample_type;run_date;correct_name;Date_exp;Plant_species;Exposure_time;Treatment;Wet_weight;Quantity_for_extraction;;;Survival
20260202_Elena_sample_MHi7.2a.mzML;sample;2026-02-03T00:50:39;20260202_Elena_sample_MHi7.2a.mzML;15.01.2026;M. hippuroides;120h;Induced;50.6;10;;3;0
20260202_Elena_sample_MHi7.1a.mzML;sample;2026-02-03T00:40:05;20260202_Elena_sample_MHi7.1a.mzML;15.01.2026;M. hippuroides;120h;Induced;50.8;10;;1;0
20260202_Elena_sample_MHi6.2a.mzML;sample;2026-02-03T00:29:31;20260202_Elena_sample_MHi6.2a.mzML;15.01.2026;M. hippuroides;120h;Control;42.3;5;;1;0
20260202_Elena_sample_MHi8.1a.mzML;sample;2026-02-03T01:01:13;20260202_Elena_sample_MHi8.1a.mzML;15.01.2026;M. hippuroides;120h;Induced;28.70;6;;;0
20260202_Elena_sample_MHi8.2a.mzML;sample;2026-02-03T01:11:47;20260202_Elena_sample_MHi8.2a.mzML;15.01.2026;M. hippuroides;120h;Induced;31.4;3;;9;0
20260202_Elena_sample_MHi9.1a.mzML;sample;2026-02-03T01:22:22;20260202_Elena_sample_MHi9.1a.mzML;15.01.2026;M. hippuroides;120h;Induced;59.3;12;;7;0
20260202_Elena_sample_MHi9.2a.mzML;sample;2026-02-03T01:32:57;20260202_Elena_sample_MHi9.2a.mzML;15.01.2026;M. hippuroides;120h;Induced;84.8;4;;;0
20260202_Elena_sample_MHi10.1a.mzML;sample;2026-02-03T01:43:34;20260202_Elena_sample_MHi10.1a.mzML;15.01.2026;M. hippuroides;120h;Induced;31.6;4;;9;0
20260202_Elena_sample_MHi11.2a.mzML;sample;2026-02-03T02:15:17;20260202_Elena_sample_MHi11.2a.mzML;15.01.2026;M. hippuroides;120h;Induced;31.4;;;;0
20260202_Elena_sample_MHi10.2a.mzML;sample;2026-02-03T01:54:08;20260202_Elena_sample_MHi10.2a.mzML;15.01.2026;M. hippuroides;120h;Induced;43.2;5;;;0
20260202_Elena_sample_MHi11.1a.mzML;sample;2026-02-03T02:04:42;20260202_Elena_sample_MHi11.1a.mzML;15.01.2026;M. hippuroides;120h;Induced;30;;;;0
20260202_Elena_sample_MHi12.1a.mzML;sample;2026-02-03T02:25:51;20260202_Elena_sample_MHi12.1a.mzML;15.01.2026;M. hippuroides;120h;Induced;76.3;6;;7;0
20260202_Elena_sample_MHi12.2a.mzML;sample;2026-02-03T02:38:33;20260202_Elena_sample_MHi12.2a.mzML;15.01.2026;M. hippuroides;120h;Induced;34.1;3;;6;0
20260202_Elena_sample_PF1.1a.mzML;sample;2026-02-03T07:17:43;20260202_Elena_sample_PF1.1a.mzML;03.10.2025;M. aquaticum;120h;Control;121.1;11;;;1
20260202_Elena_sample_PF1.1c.mzML;sample;2026-02-03T02:49:08;20260202_Elena_sample_PF1.1c.mzML;15.01.2026;M. aquaticum;120h;Control;139.6;11;;9;1
20260202_Elena_sample_PF1.2a.mzML;sample;2026-02-03T07:28:18;20260202_Elena_sample_PF1.2a.mzML;03.10.2025;M. aquaticum;120h;Control;128.5;10;;5;1
20260202_Elena_sample_PF2.1a.mzML;sample;2026-02-03T07:38:51;20260202_Elena_sample_PF2.1a.mzML;03.10.2025;M. aquaticum;120h;Control;150.5;10;;7;0
20260202_Elena_sample_PF2.2a.mzML;sample;2026-02-03T07:49:27;20260202_Elena_sample_PF2.2a.mzML;03.10.2025;M. aquaticum;120h;Control;124.8;10;;4;1
20260202_Elena_sample_PF2.1c.mzML;sample;2026-02-03T03:10:16;20260202_Elena_sample_PF2.1c.mzML;15.01.2026;M. aquaticum;120h;Control;167.1;12;;6;1
20260202_Elena_sample_PF1.2c.mzML;sample;2026-02-03T02:59:43;20260202_Elena_sample_PF1.2c.mzML;15.01.2026;M. aquaticum;120h;Control;134.2;16;;;1
20260202_Elena_sample_PF2.2c.mzML;sample;2026-02-03T03:20:51;20260202_Elena_sample_PF2.2c.mzML;15.01.2026;M. aquaticum;120h;Control;140.6;11;;;1
20260202_Elena_sample_PF3.1a.mzML;sample;2026-02-03T08:00:02;20260202_Elena_sample_PF3.1a.mzML;03.10.2025;M. aquaticum;120h;Control;121.6;10;;6;0
